,DLLlist_Win10x64-mimi20150502,DLLlist_Win10x64-mimi20160501,DLLlist_Win10x64-mimi20170801,DLLlist_Win10x86_mimi20150502,DLLlist_Win10x86_mimi20160501,DLLlist_Win10x86_mimi20170801,DLLlist_Win7x64-mimi20150502,DLLlist_Win7x64-mimi20160501,DLLlist_Win7x64-mimi20170801,DLLlist_Win7x86-mimi20150502,DLLlist_Win7x86-mimi20160501,DLLlist_Win7x86-mimi20170801,DLLlist_Win8x64-mimi20150502,DLLlist_Win8x64-mimi20160501,DLLlist_Win8x64-mimi20170801,DLLlist_Win8x86-mimi20150502,DLLlist_Win8x86-mimi20160501,DLLlist_Win8x86-mimi20170801,DLLlist_WinSV2008R2-mimi20150501,DLLlist_WinSV2008R2-mimi20160501,DLLlist_WinSV2008R2-mimi20170801,DLLlist_WinSV2012R2-mimi20150501,DLLlist_WinSV2012R2-mimi20160501,DLLlist_WinSV2012R2-mimi20170801,DLLlist_WinSV2016-mimi20150502,DLLlist_WinSV2016-mimi20160501,DLLlist_WinSV2016-mimi20170801
C:\Windows\System32\msvcp_win.dll,-,-,C:\Windows\System32\msvcp_win.dll,C:\Windows\System32\msvcp_win.dll,C:\Windows\System32\msvcp_win.dll,C:\Windows\System32\msvcp_win.dll,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,C:\Windows\System32\msvcp_win.dll,
C:\Windows\System32\msvcrt.dll,C:\Windows\System32\msvcrt.dll,C:\Windows\System32\msvcrt.dll,C:\Windows\System32\msvcrt.dll,C:\Windows\System32\msvcrt.dll,C:\Windows\System32\msvcrt.dll,C:\Windows\System32\msvcrt.dll,C:\Windows\System32\msvcrt.dll,C:\Windows\System32\msvcrt.dll,C:\Windows\System32\msvcrt.dll,C:\Windows\System32\msvcrt.dll,C:\Windows\System32\msvcrt.dll,C:\Windows\System32\msvcrt.dll,C:\Windows\System32\msvcrt.dll,C:\Windows\System32\msvcrt.dll,C:\Windows\System32\msvcrt.dll,C:\Windows\System32\msvcrt.dll,C:\Windows\System32\msvcrt.dll,C:\Windows\System32\msvcrt.dll,C:\Windows\System32\msvcrt.dll,C:\Windows\System32\msvcrt.dll,C:\Windows\System32\msvcrt.dll,C:\Windows\System32\msvcrt.dll,C:\Windows\System32\msvcrt.dll,C:\Windows\System32\msvcrt.dll,C:\Windows\System32\msvcrt.dll,C:\Windows\System32\msvcrt.dll,C:\Windows\System32\msvcrt.dll,
C:\Windows\System32\ncrypt.dll,C:\Windows\System32\ncrypt.dll,C:\Windows\System32\ncrypt.dll,-,C:\Windows\System32\ncrypt.dll,C:\Windows\System32\ncrypt.dll,-,C:\Windows\System32\ncrypt.dll,C:\Windows\System32\ncrypt.dll,-,C:\Windows\System32\ncrypt.dll,C:\Windows\System32\ncrypt.dll,-,C:\Windows\System32\ncrypt.dll,C:\Windows\System32\ncrypt.dll,-,C:\Windows\System32\ncrypt.dll,C:\Windows\System32\ncrypt.dll,-,C:\Windows\System32\ncrypt.dll,C:\Windows\System32\ncrypt.dll,-,C:\Windows\System32\ncrypt.dll,C:\Windows\System32\ncrypt.dll,-,C:\Windows\System32\ncrypt.dll,C:\Windows\System32\ncrypt.dll,-,
C:\Windows\System32\netapi32.dll,-,C:\Windows\System32\netapi32.dll,C:\Windows\System32\netapi32.dll,-,C:\Windows\System32\netapi32.dll,C:\Windows\System32\netapi32.dll,-,C:\Windows\System32\netapi32.dll,C:\Windows\System32\netapi32.dll,-,C:\Windows\System32\netapi32.dll,C:\Windows\System32\netapi32.dll,-,C:\Windows\System32\netapi32.dll,C:\Windows\System32\netapi32.dll,-,C:\Windows\System32\netapi32.dll,C:\Windows\System32\netapi32.dll,-,C:\Windows\System32\netapi32.dll,C:\Windows\System32\netapi32.dll,-,C:\Windows\System32\netapi32.dll,C:\Windows\System32\netapi32.dll,-,C:\Windows\System32\netapi32.dll,C:\Windows\System32\netapi32.dll,
C:\Windows\System32\netutils.dll,-,C:\Windows\System32\netutils.dll,C:\Windows\System32\netutils.dll,-,C:\Windows\System32\netutils.dll,C:\Windows\System32\netutils.dll,-,C:\Windows\System32\netutils.dll,C:\Windows\System32\netutils.dll,-,C:\Windows\System32\netutils.dll,C:\Windows\System32\netutils.dll,-,C:\Windows\System32\netutils.dll,C:\Windows\System32\netutils.dll,-,C:\Windows\System32\netutils.dll,C:\Windows\System32\netutils.dll,-,C:\Windows\System32\netutils.dll,C:\Windows\System32\netutils.dll,-,C:\Windows\System32\netutils.dll,C:\Windows\System32\netutils.dll,-,C:\Windows\System32\netutils.dll,C:\Windows\System32\netutils.dll,
C:\Windows\System32\nsi.dll,-,-,-,-,-,-,C:\Windows\System32\nsi.dll,C:\Windows\System32\nsi.dll,-,-,-,-,C:\Windows\System32\nsi.dll,C:\Windows\System32\nsi.dll,-,-,-,-,C:\Windows\System32\nsi.dll,C:\Windows\System32\nsi.dll,-,C:\Windows\System32\nsi.dll,C:\Windows\System32\nsi.dll,-,-,-,-,
C:\Windows\System32\ntasn1.dll,C:\Windows\System32\ntasn1.dll,C:\Windows\System32\ntasn1.dll,-,C:\Windows\System32\ntasn1.dll,C:\Windows\System32\ntasn1.dll,-,-,-,-,-,-,-,C:\Windows\System32\ntasn1.dll,C:\Windows\System32\ntasn1.dll,-,C:\Windows\System32\ntasn1.dll,C:\Windows\System32\ntasn1.dll,-,-,-,-,C:\Windows\System32\ntasn1.dll,C:\Windows\System32\ntasn1.dll,-,C:\Windows\System32\ntasn1.dll,C:\Windows\System32\ntasn1.dll,-,
C:\Windows\System32\ntdll.dll,C:\Windows\System32\ntdll.dll,C:\Windows\System32\ntdll.dll,C:\Windows\System32\ntdll.dll,C:\Windows\System32\ntdll.dll,C:\Windows\System32\ntdll.dll,C:\Windows\System32\ntdll.dll,C:\Windows\System32\ntdll.dll,C:\Windows\System32\ntdll.dll,C:\Windows\System32\ntdll.dll,C:\Windows\System32\ntdll.dll,C:\Windows\System32\ntdll.dll,C:\Windows\System32\ntdll.dll,C:\Windows\System32\ntdll.dll,C:\Windows\System32\ntdll.dll,C:\Windows\System32\ntdll.dll,C:\Windows\System32\ntdll.dll,C:\Windows\System32\ntdll.dll,C:\Windows\System32\ntdll.dll,C:\Windows\System32\ntdll.dll,C:\Windows\System32\ntdll.dll,C:\Windows\System32\ntdll.dll,C:\Windows\System32\ntdll.dll,C:\Windows\System32\ntdll.dll,C:\Windows\System32\ntdll.dll,C:\Windows\System32\ntdll.dll,C:\Windows\System32\ntdll.dll,C:\Windows\System32\ntdll.dll,
C:\Windows\System32\ntdsapi.dll,C:\Windows\System32\ntdsapi.dll,C:\Windows\System32\ntdsapi.dll,-,-,-,-,C:\Windows\System32\ntdsapi.dll,C:\Windows\System32\ntdsapi.dll,-,-,-,-,C:\Windows\System32\ntdsapi.dll,C:\Windows\System32\ntdsapi.dll,-,-,-,-,C:\Windows\System32\ntdsapi.dll,C:\Windows\System32\ntdsapi.dll,-,C:\Windows\System32\ntdsapi.dll,C:\Windows\System32\ntdsapi.dll,-,C:\Windows\System32\ntdsapi.dll,C:\Windows\System32\ntdsapi.dll,-,
C:\Windows\System32\ole32.dll,-,-,C:\Windows\System32\ole32.dll,-,-,C:\Windows\System32\ole32.dll,-,C:\Windows\System32\ole32.dll,C:\Windows\System32\ole32.dll,-,C:\Windows\System32\ole32.dll,C:\Windows\System32\ole32.dll,-,-,C:\Windows\System32\ole32.dll,-,-,C:\Windows\System32\ole32.dll,-,C:\Windows\System32\ole32.dll,C:\Windows\System32\ole32.dll,-,-,C:\Windows\System32\ole32.dll,-,-,C:\Windows\System32\ole32.dll,
